surface_name	site_name	species_name	formation_energy	frequencies	reference
Rh	111	CO-O	0.74	[]	This Work, BEEF-vdw
Rh	111	H	-0.33	[978.2,768.0,764.8]	This Work, BEEF-vdw
Rh	111	H-H	0.58	[1224.9,1016.8,814.3,376.5,311.2]	This Work, BEEF-vdw
Rh	111	O	-0.15	[413.6,381.7,381.6]	This Work, BEEF-vdw
Ru	111	C	1.852	[455.9,468.2,469.2]	This Work, BEEF-vdw
Ru	111	C-H	2.321	[1238.2,658.6,495.8,434.6,346.4]	This Work, BEEF-vdw
Ru	111	C-O	0	[506.9,420.5,385.3,330.8,219.4]	This Work, BEEF-vdw
Ru	111	CH	1.321	[379.0,380.0,503.1,599.3,599.4,3065.5]	This Work, BEEF-vdw
Ru	111	CH-H	1.511	[3040.9,1933.3,1040.9,766.5,569.7,500.1,407.8,402.9]	This Work, BEEF-vdw
Ru	111	CH2	1.291	[152.0,257.5,305.9,416.3,434.8,643.3,1329.9,2947.9,3008.0]	This Work, BEEF-vdw
Ru	111	CH2-H	1.49	[3080.5,3007.1,1406.2,1361.2,822.3,622.7,534.5,442.3,340.2,222.8,77.0]	This Work, BEEF-vdw
Ru	111	CH3	0.79	[95.8,103.5,226.0,278.8,545.5,547.6,1166.3,1400.4,1403.8,2944.3,3014.7,3016.4]	This Work, BEEF-vdw
Ru	111	CH3-H	1.1	[3154.7,3136.2,3028.3,1426.8,1421.0,1358.3,1104.9,759.3,717.9,368.1,315.1,125.1,86.6,69.4]	This Work, BEEF-vdw
Ru	111	CO	-0.32	[3.9,8.7,46.0,57.1,62.0,253.0]	This Work, BEEF-vdw
Ru	111	CO-O	0.17	[]	This Work, BEEF-vdw
Ru	111	H	-0.5	[978.2,768.0,764.8]	This Work, BEEF-vdw
Ru	111	H-H	-0.5	[1224.9,1016.8,814.3,376.5,311.2]	This Work, BEEF-vdw
Ru	111	O	-1.982	[413.6,381.7,381.6]	This Work, BEEF-vdw
